Luxembourg	49.815273	6.129583	569604	0	2					
Latvia	56.879635	24.603189	1977527	0	4					
"Macao SAR, China"	22.198745	113.543873	600942	0	2					
Morocco	31.791702	-7.09262	34803322	0	52					
Moldova	47.411631	28.369885	3554108	0	6					
Madagascar	-18.766947	46.869107	24234088	0	36					
Maldives	3.202778	73.22068	409163	0	2					
Middle East & North Africa	29.2985278	42.5509603	428961724	0	626					
Mexico	23.634501	-102.552784	125890949	0	185					
"Macedonia, FYR"	41.608635	21.745275	2079308	0	4					
Mali	17.570692	-3.996166	17467905	0	26					
Malta	35.937496	14.375416	431874	0	2					
Myanmar	21.916221	95.955974	52403669	0	77					
Mongolia	46.862496	103.846656	2976877	0	5					
Mozambique	-18.665695	35.529562	28010691	0	42					
Mauritania	21.00789	-10.940835	4182341	0	7					
Mauritius	-20.348404	57.552152	1262605	0	3					
Malawi	-13.254308	34.301525	17573607	0	27					
Malaysia	4.210484	101.975766	30723155	0	46					
Namibia	-22.95764	18.49041	2425561	0	5					
New Caledonia	-20.904305	165.618042	273000	0	1					
Niger	17.607789	8.081666	19896965	0	30					
Nigeria	9.081999	8.675277	181181744	0	265					
Nicaragua	12.865416	-85.207229	6082035	0	10					
Netherlands	52.132633	5.291266	16939923	0	26					
Norway	60.472024	8.468946	5188607	0	9					
Nepal	28.394857	84.124008	28656282	0	43					
Nauru	-0.522778	166.931503	12475	0	1					
New Zealand	-40.900557	174.885971	4595700	0	8					
Oman	21.4735329	55.975413	4199810	0	7					
Pakistan	30.375321	69.345116	189380513	0	277					
Panama	8.537981	-80.782127	3969249	0	7					
Peru	-9.189967	-75.015152	31376671	0	47					
Philippines	12.879721	121.774017	101716359	0	149					
Palau	7.51498	134.58252	21288	0	1					
Papua New Guinea	-6.314993	143.95555	7919825	0	13					
Poland	51.919438	19.145136	37986412	0	56					
"Korea, Dem. People’s Rep."	40.339852	127.510093	25243917	0	38					
Portugal	39.399872	-8.224454	10358076	0	16					
Paraguay	-23.442503	-58.443832	6639119	0	11					
Qatar	25.354826	51.183884	2481539	0	5					
Romania	45.943161	24.96676	19815481	0	30					
Russian Federation	61.52401	105.318756	144096870	0	211					
Rwanda	-1.940278	29.873888	11629553	0	18					
Saudi Arabia	23.885942	45.079162	31557144	0	47					
Sudan	12.862807	30.217636	38647803	0	57					
Senegal	14.497401	-14.452362	14976994	0	23					
Singapore	1.352083	103.819836	5535002	0	9					
Solomon Islands	-9.64571	160.156194	587482	0	2					
San Marino	43.94236	12.457777	32960	0	1					
Somalia	5.152149	46.199616	13908129	0	21					
Serbia	44.016521	21.005859	7095383	0	11					
Sao Tome and Principe	0.18636	6.613081	195553	0	1					
Suriname	3.919305	-56.027783	553208	0	2					
Slovak Republic	48.669026	19.699024	5423801	0	9					
Slovenia	46.151241	14.995463	2063531	0	4					
Sweden	60.128161	18.643501	9799186	0	15					
Swaziland	-26.522503	31.465866	1319011	0	3					
Chad	15.454166	18.732207	14009413	0	21					
Togo	8.619543	0.824782	7416802	0	12					
Thailand	15.870032	100.992541	68657600	0	101					
Tajikistan	38.861034	71.276093	8548651	0	13					
Turkmenistan	38.969719	59.556278	5565284	0	9					
Tonga	-21.178986	-175.198242	106364	0	1					
Tunisia	33.886917	9.537499	11273661	0	17					
Turkey	38.963745	35.243322	78271472	0	115					
Tuvalu	-7.109535	177.64933	11001	0	1					
Tanzania	-6.369028	34.888822	53879957	0	80					
Uganda	1.373333	32.290275	40144870	0	60					
Ukraine	48.379433	31.1655799	45154029	0	67					
Uruguay	-32.522779	-55.765835	3431552	0	6					
United States	37.09024	-95.712891	320896618	0	469					
Uzbekistan	41.377491	64.585262	31298900	0	47					
Vietnam	14.058324	108.277199	91713300	0	135					
Vanuatu	-15.376706	166.959158	264603	0	1					
Kosovo	42.6026359	20.902977	1801800	0	4					
South Africa	-30.559482	22.937506	55011976.68	0	81					
Zambia	-13.133897	27.849332	16100587	0	24					
Zimbabwe	-17.824858	31.053028	15777451	0	24					
