Country,lat,lon,forestMap,Code,,forest ratio raw2015,,,
Lebanon,33.854721,35.862285,274,2,,13.42130987,,,
Liberia,6.428055,-9.429499,884,2,,43.38662791,,,
Libya,26.3351,17.228331,4,2,,0.123327688,,,
Liechtenstein,47.166,9.555373,879,2,,43.125,,,
Lithuania,55.169438,23.881275,709,2,,34.79871021,,,
Luxembourg,49.815273,6.129583,682,2,,33.47490347,,,
Latvia,56.879635,24.603189,1099,2,,53.97233837,,,
Morocco,31.791702,-7.09262,258,2,,12.61931436,,,
Moldova,47.411631,28.369885,254,2,,12.4429571,,,
Madagascar,-18.766947,46.869107,437,2,,21.43863871,,,
Maldives,3.202778,73.22068,69,2,,3.333333333,,,
Middle East & North Africa,29.2985278,42.5509603,43,2,,2.064691443,,,
Mexico,23.634501,-102.552784,692,2,,33.97206718,,,
Middle income,36.958014,-94.793619,653,2,,32.05919761,,,
"Macedonia, FYR",41.608635,21.745275,806,2,,39.57176844,,,
Mali,17.570692,-3.996166,80,2,,3.864152304,,,
Malta,35.937496,14.375416,23,2,,1.09375,,,
Myanmar,21.916221,95.955974,906,2,,44.4677528,,,
Mongolia,46.862496,103.846656,165,2,,8.080022658,,,
Mozambique,-18.665695,35.529562,983,2,,48.24639487,,,
Mauritania,21.00789,-10.940835,5,2,,0.217813137,,,
Mauritius,-20.348404,57.552152,388,2,,19.01477833,,,
Malawi,-13.254308,34.301525,680,2,,33.37929571,,,
Malaysia,4.210484,101.975766,1376,2,,67.55440572,,,
Namibia,-22.95764,18.49041,172,2,,8.404086045,,,
New Caledonia,-20.904305,165.618042,935,2,,45.89715536,,,
Niger,17.607789,8.081666,19,2,,0.901555222,,,
Nigeria,9.081999,8.675277,157,2,,7.678118515,,,
Nicaragua,12.865416,-85.207229,528,2,,25.87668273,,,
Netherlands,52.132633,5.291266,228,2,,11.16058178,,,
Norway,60.472024,8.468946,676,2,,33.16130269,,,
Nepal,28.394857,84.124008,517,2,,25.3644925,,,
New Zealand,-40.900557,174.885971,786,2,,38.55531503,,,
Oman,21.4735329,55.975413,1,2,,0.006462036,,,
Pakistan,30.375321,69.345116,40,2,,1.909506019,,,
Panama,8.537981,-80.782127,1265,2,,62.10653753,,,
Peru,-9.189967,-75.015152,1177,2,,57.79140625,,,
Philippines,12.879721,121.774017,550,2,,26.96448335,,,
Palau,7.51498,134.58252,1784,2,,87.60869565,,,
"Korea, Dem. People’s Rep.",40.339852,127.510093,851,2,,41.782244,,,
Portugal,39.399872,-8.224454,708,2,,34.735716,,,
Paraguay,-23.442503,-58.443832,786,2,,38.56783287,,,
West Bank and Gaza,29.9714142,31.2213144,32,2,,1.523255814,,,
Romania,45.943161,24.96676,608,2,,29.82006259,,,
Russian Federation,61.52401,105.318756,1014,2,,49.76106545,,,
Rwanda,-1.940278,29.873888,397,2,,19.45683016,,,
Saudi Arabia,23.885942,45.079162,10,2,,0.454484135,,,
Sudan,12.862807,30.217636,166,2,,8.084991582,,,
Senegal,14.497401,-14.452362,875,2,,42.96992676,,,
Singapore,1.352083,103.819836,470,2,,23.0606488,,,
Solomon Islands,-9.64571,160.156194,1590,2,,78.06359414,,,
Somalia,5.152149,46.199616,207,2,,10.14282526,,,
Serbia,44.016521,21.005859,634,2,,31.0999314,,,
Sao Tome and Principe,0.18636,6.613081,1137,2,,55.83333333,,,
Suriname,3.919305,-56.027783,2001,2,,98.28205128,,,
Slovak Republic,48.669026,19.699024,822,2,,40.34773928,,,
Slovenia,46.151241,14.995463,1262,2,,61.96623635,,,
Sweden,60.128161,18.643501,1404,2,,68.92293339,,,
Swaziland,-26.522503,31.465866,694,2,,34.06976744,,,
Chad,15.454166,18.732207,80,2,,3.871505718,,,
Togo,8.619543,0.824782,71,2,,3.456517742,,,
Thailand,15.870032,100.992541,654,2,,32.09888626,,,
Tajikistan,38.861034,71.276093,61,2,,2.968599138,,,
Turkmenistan,38.969719,59.556278,180,2,,8.782159045,,,
Tonga,-21.178986,-175.198242,255,2,,12.5,,,
Tunisia,33.886917,9.537499,137,2,,6.700566426,,,
Turkey,38.963745,35.243322,311,2,,15.22159999,,,
Tuvalu,-7.109535,177.64933,679,2,,33.33333333,,,
Tanzania,-6.369028,34.888822,1059,2,,51.99819372,,,
Uganda,1.373333,32.290275,212,2,,10.35806902,,,
Ukraine,48.379433,31.1655799,340,2,,16.67052199,,,
Uruguay,-32.522779,-55.765835,216,2,,10.54165238,,,
United States,37.09024,-95.712891,691,2,,33.89972254,,,
Uzbekistan,41.377491,64.585262,155,2,,7.569111425,,,
Vietnam,14.058324,108.277199,971,2,,47.64408037,,,
Vanuatu,-15.376706,166.959158,736,2,,36.09515997,,,
South Africa,-30.559482,22.937506,156,2,,7.617736524,,,
Zambia,-13.133897,27.849332,1332,2,,65.4232637,,,
Zimbabwe,-19.015438,29.154857,741,2,,36.35000646,,,
