Tajikistan,7853.5,2,,,,
Turkmenistan,35799.6,4,,,,
Tonga,435.4,1,,,,
Tunisia,43156.7,4,,,,
Turkey,859794.2,65,,,,
Tuvalu,32.7,1,,,,
Tanzania,45628.3,4,,,,
Uganda,27059.4,3,,,,
Ukraine,91031,8,,,,
Uruguay,53274.3,5,,,,
United States,18120714,1353,,,,
Uzbekistan,66903.8,6,,,,
Vietnam,193241.1,15,,,,
Vanuatu,742.4,1,,,,
Kosovo,6440.5,1,,,,
South Africa,317610.7,25,,,,
Zambia,21154.4,3,,,,
Zimbabwe,16304.7,2,,,,
