country,lat,lon,gdpMAP,Code,,,gdpRaw,,,
Lebanon,33.854721,35.862285,102,1,,,8452.443641,,,
Liberia,6.428055,-9.429499,6,1,,,452.0380717,,,
Liechtenstein,47.166,9.555373,2008,1,,,168146.0153,,,
Lithuania,55.169438,23.881275,171,1,,,14252.42853,,,
Luxembourg,49.815273,6.129583,1212,1,,,101446.7863,,,
Latvia,56.879635,24.603189,164,1,,,13658.08503,,,
"Macao SAR, China",22.198745,113.543873,902,1,,,75484.28658,,,
Morocco,31.791702,-7.09262,35,1,,,2864.092915,,,
Moldova,47.411631,28.369885,23,1,,,1832.499052,,,
Madagascar,-18.766947,46.869107,6,1,,,402.0883072,,,
Maldives,3.202778,73.22068,115,1,,,9575.7707,,,
Middle East & North Africa,29.2985278,42.5509603,89,1,,,7336.969933,,,
Mexico,23.634501,-102.552784,110,1,,,9152.872306,,,
Middle income,36.958014,-94.793619,59,1,,,4843.540857,,,
"Macedonia, FYR",41.608635,21.745275,59,1,,,4834.136723,,,
Mali,17.570692,-3.996166,10,1,,,749.9501571,,,
Malta,35.937496,14.375416,285,1,,,23816.08514,,,
Myanmar,21.916221,95.955974,15,1,,,1138.992271,,,
Mongolia,46.862496,103.846656,48,1,,,3946.962075,,,
Mozambique,-18.665695,35.529562,7,1,,,528.3139758,,,
Mauritania,21.00789,-10.940835,15,1,,,1158.256371,,,
Mauritius,-20.348404,57.552152,112,1,,,9260.447303,,,
Malawi,-13.254308,34.301525,5,1,,,362.6575444,,,
Malaysia,4.210484,101.975766,116,1,,,9648.553455,,,
Namibia,-22.95764,18.49041,58,1,,,4770.500939,,,
Nigeria,9.081999,8.675277,33,1,,,2655.157977,,,
Nicaragua,12.865416,-85.207229,26,1,,,2095.966488,,,
Netherlands,52.132633,5.291266,535,1,,,44746.33405,,,
Norway,60.472024,8.468946,890,1,,,74498.13764,,,
Nepal,28.394857,84.124008,10,1,,,747.1604624,,,
Nauru,-0.522778,166.931503,97,1,,,8052.888385,,,
New Zealand,-40.900557,174.885971,457,1,,,38201.57455,,,
Oman,21.4735329,55.975413,199,1,,,16627.3643,,,
Pakistan,30.375321,69.345116,18,1,,,1428.637628,,,
Panama,8.537981,-80.782127,158,1,,,13134.04367,,,
Peru,-9.189967,-75.015152,73,1,,,6030.343259,,,
Philippines,12.879721,121.774017,35,1,,,2878.33837,,,
Palau,7.51498,134.58252,168,1,,,13981.83953,,,
Portugal,39.399872,-8.224454,231,1,,,19252.63495,,,
Paraguay,-23.442503,-58.443832,50,1,,,4109.367724,,,
Qatar,25.354826,51.183884,793,1,,,66346.52267,,,
Romania,45.943161,24.96676,108,1,,,8978.389254,,,
Russian Federation,61.52401,105.318756,112,1,,,9329.290713,,,
Rwanda,-1.940278,29.873888,9,1,,,710.3483907,,,
Saudi Arabia,23.885942,45.079162,247,1,,,20653.24205,,,
Sudan,12.862807,30.217636,31,1,,,2513.884661,,,
Senegal,14.497401,-14.452362,12,1,,,910.7747772,,,
Singapore,1.352083,103.819836,641,1,,,53629.73746,,,
Solomon Islands,-9.64571,160.156194,24,1,,,1922.041388,,,
San Marino,43.94236,12.457777,569,1,,,47610.98508,,,
Somalia,5.152149,46.199616,6,1,,,426.0098537,,,
Serbia,44.016521,21.005859,63,1,,,5237.255334,,,
Sao Tome and Principe,0.18636,6.613081,20,1,,,1615.320711,,,
Suriname,3.919305,-56.027783,105,1,,,8724.723897,,,
Slovak Republic,48.669026,19.699024,194,1,,,16132.86031,,,
Slovenia,46.151241,14.995463,250,1,,,20873.16111,,,
Sweden,60.128161,18.643501,607,1,,,50812.19086,,,
Swaziland,-26.522503,31.465866,37,1,,,3047.946756,,,
Chad,15.454166,18.732207,10,1,,,777.2487051,,,
Togo,8.619543,0.824782,8,1,,,551.1308346,,,
Thailand,15.870032,100.992541,70,1,,,5814.863134,,,
Tajikistan,38.861034,71.276093,12,1,,,918.6771543,,,
Turkmenistan,38.969719,59.556278,78,1,,,6432.668768,,,
Tonga,-21.178986,-175.198242,50,1,,,4093.849585,,,
Tunisia,33.886917,9.537499,47,1,,,3828.100633,,,
Turkey,38.963745,35.243322,132,1,,,10984.77076,,,
Tuvalu,-7.109535,177.64933,36,1,,,2970.027974,,,
Tanzania,-6.369028,34.888822,11,1,,,872.2954949,,,
Uganda,1.373333,32.290275,9,1,,,674.044972,,,
Ukraine,48.379433,31.1655799,26,1,,,2124.662666,,,
Uruguay,-32.522779,-55.765835,186,1,,,15524.84247,,,
United States,37.09024,-95.712891,675,1,,,56469.00897,,,
Uzbekistan,41.377491,64.585262,27,1,,,2137.576852,,,
Vietnam,14.058324,108.277199,26,1,,,2065.169099,,,
Vanuatu,-15.376706,166.959158,34,1,,,2805.83414,,,
Kosovo,42.6026359,20.902977,44,1,,,3574.481782,,,
South Africa,-30.559482,22.937506,70,1,,,5744.324157,,,
Zambia,-13.133897,27.849332,17,1,,,1313.889646,,,
Zimbabwe,-19.015438,29.154857,13,1,,,1033.415842,,,
